evidence_record_id,study_reference_id,within_study_evidence_no,author_year,title,evidence_source_category,pathway_level_1_category,pathogen,original_quote,evidence_type_category,mechanism_support_category,effect_direction_category,time_scale_category,spatial_context_category,extraction_date
EVID_016-M3,16,3,Yang (2019),Bacterial community and climate change implication affected the diversity and abundance of antibiotic resistance genes in wetlands on the Qinghai-Tibetan Plateau,Results and discussion integration,Environment-mediated pathways,湿地沉积物/土壤细菌群落,"Temperature has previously been revealed to positively correlated with ARG abundance in engineered systems [69]. Similarly, in our study, we found that temperature played an important role in ARG abundance in these natural wetlands. The warming climate trend in the Qinghai-Tibetan will very likely lead to increased soil temperature and moisture which will alter the microbial community composition and increase the background levels of ARGs in the wetlands. (p.9, Discussion)",Theoretical/projection,Theoretical support,Promoting AMR,Other/unclear,Other/unclear,2025-12-29
EVID_016-M4,16,4,Yang (2019),Bacterial community and climate change implication affected the diversity and abundance of antibiotic resistance genes in wetlands on the Qinghai-Tibetan Plateau,Discussion interpretation,Environment-mediated pathways,湿地细菌群落,"At this time, we cautiously proposed that climate change and anthropogenic factors indirectly influence the ARG profile and distribution via the bacterial community. (p.9, Discussion)",Theoretical/projection,Theoretical support,Uncertain,Conceptual or unclear,Other/unclear,2025-12-29
EVID_018-M1,18,1,Hernandez (2020),Impact of wave action and rainfall on incidence and antibiotic resistance of total coliforms in Southern California beaches,Results,Environment-mediated pathways,总大肠菌群（total coliforms）,"Wet weather was associated with a 78.5% higher MAR index compared to dry weather at restricted wave action sites, whereas at non-restricted wave action sites, wet weather MAR index was 8.5% lower than dry weather MAR index (Figure 2).",Observational,Indirect empirical support,Promoting AMR,Event-based,Built or engineered environment,2025-12-30
EVID_018-M2,18,2,Hernandez (2020),Impact of wave action and rainfall on incidence and antibiotic resistance of total coliforms in Southern California beaches,Results and discussion integration,Environment-mediated pathways,总大肠菌群（total coliforms）,"Rain results in increased levels of pollutants, especially in restricted wave action sites. As coliforms have a short lifespan (hours to days) in seawater (Fujioka et al. 1981; Statham & McMeekin 1994), it is likely that antibiotic-resistant coliforms from more polluted sources washed into restricted wave action sites during wet weather via runoff.",Theoretical/projection,Theoretical support,Promoting AMR,Event-based,Built or engineered environment,2025-12-30
EVID_018-M3,18,3,Hernandez (2020),Impact of wave action and rainfall on incidence and antibiotic resistance of total coliforms in Southern California beaches,Discussion interpretation,Environment-mediated pathways,总大肠菌群（total coliforms）,"however, wet weather isolates generally had higher mean ampicillin MICs compared to dry isolates. This suggests that total coliforms may be resistant to ampicillin at higher levels following wet weather; however, it is likely that this could not be detected statistically due to a lack of power in our design",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Mixed or unspecified,2025-12-30
EVID_19-M1,19,1,Kaba (2020),Thinking outside the box: Association of antimicrobial resistance with climate warming in Europe – A 30 country observational study,Results and discussion integration,Socio-ecological mediation,CRPA,"The intriguing question is why such association was found only for CRPA and not for other AMR variables investigated in this study. There is no final answer, yet one possible explanation may emerge if two phenomena are combined. Associations between elevated outdoor temperatures during the warm season and infections have been reported for P. aeruginosa (Psoter et al., 2013). Therefore, an increase of P.aeruginosa infections can be expected with rising temperatures. Since carbapenems are so-called reserve antibiotics, the increase in P. aeruginosa infections could have triggered the use of carbapenems. Since P.aeruginosa is a bacterium known to quickly react to selective pressure resulting from the application of antibiotics (Lister et al., 2009), this could have facilitated the rise in CRPA proportions of P. aeruginosa isolates due to selection mechanisms.",Observational,Theoretical support,Promoting AMR,Other/unclear,Other/unclear,2025-12-30
EVID_19-M2,19,2,Kaba (2020),Thinking outside the box: Association of antimicrobial resistance with climate warming in Europe – A 30 country observational study,Discussion theoretical interpretation,Direct biological mechanisms,未限定（环境细菌）,"“The reason of such associations is still unknown. If a causal re-
lationship indeed exists, a potential explanation could be that warmer
climates might influence concentrations of heavy metals or biocides in
soil or water or their uptake by different organisms, including bacteria (Marques et al., 2010). These potentially toxic substances are at the
same time known to trigger AMR through co- or cross-selection (Singer
et al., 2016).”",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Within host / clinical,2025-12-30
EVID_19-M3,19,3,Kaba (2020),Thinking outside the box: Association of antimicrobial resistance with climate warming in Europe – A 30 country observational study,Discussion theoretical interpretation,Direct biological mechanisms,未限定（细菌群体）,"“Although these results confirm previous findings and since tem-
perature is known to facilitate both in vitro bacterial growth and hor-
izontal gene transfer (Lorenz and Wackernagel, 1994),.”",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Mixed or unspecified,2025-12-30
EVID_20-M1,20,1,McLellan (2020),Residential urban stormwater runoff: A comprehensive profile of microbiome and antibiotic resistance,Review synthesis,Environment-mediated pathways,城市雨洪系统微生物群落,"“In addition to pathogen transmission, stormwater may enable the transmission of antibiotic resistant bacteria and antibiotic resistant genes (Garner et al., 2017). The spread of antibiotic resistance genes (ARGs) is a critical global health threat (Mills and Lee, 2019; World Health Organization, 2015). This can occur in stormwater where bacteria can acquire ARGs in natural matrices through transmission between live cells or by assimilation from the extracellular environment..”",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Built or engineered environment,2025-12-30
EVID_20-M2,20,2,McLellan (2020),Residential urban stormwater runoff: A comprehensive profile of microbiome and antibiotic resistance,Discussion interpretation,Environment-mediated pathways,粪源细菌（E. coli等）,"
Despite the lack of significant correlation between E. coli concentration and rainfall depth, the trend indicates as rainfall depth increases E. coli concentration decrease to a range below the total mean. Further more, E. coli densities did significantly increasewith intensifying rainfall (rainfall depth/duration). These results suggest intense, short duration
rainfalls yield the highest fecal contamination in stormwater. These findings are consistent with other reports (McCarthy et al., 2007). This may be related to the suspension ofgreater amounts ofsediment during high intensity rainfall events. Therefore, urban runoffmay be a potential source of pathogen impairment in source waters.",Theoretical/projection,Theoretical support,Promoting AMR,Event-based,Built or engineered environment,2025-12-30
